id;price;rooms;area;year
11345922;84000;2;51;1986
10971140;79900;1;49,1;2013
11463106;237000;3;94;2006
11469826;267000;5;178,5;2005
9336857;92000;2;43,8;1966
10395677;145000;1;39,7;1953
11470880;90000;2;53;1988
11463209;134000;2;55;1949
11463379;107000;2;65.5;2010
10227758;439000;4;131;1996
11471880;61500;2;32;1960
11469834;92000;2;51,2;1981
11463142;69000;1;35;1990
11463321;67000;1;33;1981
11470933;64;0;33;1975
5984954;160000;2;57.68;1953
11434086;73000;1;41;2013
11471889;72900;2;43.7;1963
10424424;90000;3;61,4;1955
11384943;132000;2;62,7;2005
11405430;170000;3;77,6;1957
11199508;75000;2;44.24;1962
10692730;290000;4;127;2007
9900166;135000;2;60,5;1951
11463361;86900;2;51;1966
11466895;57500;1;30.1;1964
11067539;924000;5;308;2014
10813589;73224;1;45,2;2013
11198619;175000;3;90.2;1999
11467461;69000;1;37,9;1998
11463107;75000;2;40;1969
11463193;76000;1;33.2;1971
11466924;65500;1;35;1994
10813626;116960;2;68,8;2013
11239612;68000;1;34,4;1975
11200703;143000;4;92,3;2012
11468995;75500;1;40,5;2005
10174661;115000;2;48,9;1990
11018440;115080;2;68,5;2013
11000009;70000;2;44,5;1973
11475147;70000;2;55;1900
11471565;67000;1;30;1986
11466961;70900;1;41;2013
11463283;71600;2;38.39;1973
11466964;75000;2;40;1974
11463374;99900;3;64;1993
11463375;123000;2;42;1959
11475168;80000;1;48.9;2013
10217697;146000;3;67;2001
11045090;88500;3;58;1973
11463377;92000;2;57.3;1971
11463378;135000;3;74.5;1975
11463037;130000;3;93.96;2011
11432176;91900;2;60,5;2010
11471912;138000;1;59.4;1953
10862291;115416;2;68.70;2013
11463380;109000;3;77.57;1900
11463039;122000;4;77.3;1996
10707677;105000;1;54.4;2009
11469059;77000;1;34;1982
11463382;109000;3;63;1986
11469063;70000;1;39.4;2000
11471575;57000;1;34;1984
11463384;88000;2;52.9;1971
11463043;117000;2;47;1956
11463385;65000;1;31.2;1966
11463149;79000;1;43;2010
11463045;151000;3;100;2002
11467043;510000;5;164,1;2004
11301158;349;4;115;2002
11463354;135000;3;65;1991
11463388;76500;1;37.7;2010
11469560;98000;2;50,9;2002
11471581;299000;5;155;2000
11223345;78000;2;47;1964
11466462;70700;1;32;1978
10727734;75000;1;33;1900
4571455;104000;3;64;1980
11463392;75000;1;41;2007
11463393;139000;3;93;2012
11463394;92000;2;60;1978
11463395;92500;2;57;2012
11475286;20000;0;0;1900
10797401;87000;2;47;1988
11463055;97000;3;63;1979
11471930;93000;3;63;1973
11463397;82900;2;45;1966
11463398;65000;1;35.7;1991
11356522;123000;3;63;1984
11463399;116000;3;80;2007
11469164;127500;3;53,6;1968
11463400;115000;3;68.4;1996
11463059;130000;4;90;2008
11463401;59500;1;33.8;1991
11463033;76000;3;47.86;1936
11463034;165000;2;62.4;1969
11463035;62000;1;30;1960
11463036;120000;2;80.3;2009
11463402;69500;2;41.4;1973
11463061;63000;1;30.7;1965
11463040;57000;1;35.4;1979
11463041;198000;5;128;1997
11463042;77000;1;51.9;2007
11440515;69000;3;69;1977
11463044;91000;2;50.6;1977
11463062;190000;3;73;1969
11463046;69000;1;33;1978
11463047;85900;2;50.4;1975
11463048;108500;2;80.4;2010
11463049;520000;3;134.7;2012
11463050;66700;1;30.5;1965
11463051;215000;4;80.33;1958
11463052;97000;1;43;2006
11463053;64000;1;33.17;1978
11471597;198000;2;63;1946
11463056;83000;2;51.4;1967
11463057;130000;3;63;1986
11463058;82000;2;40;1963
11463153;185000;2;70;2002
11467156;88000;1;42,6;2006
11463406;65000;2;46;1965
11467158;91500;1;48;2013
11463064;162000;2;68;2005
11463066;110000;3;67.4;1992
11462383;160000;4;102;2013
11463069;139000;2;57.7;1999
11356574;150000;3;70;1949
11463071;64000;1;32.4;1968
11463072;65900;1;31;1962
11467169;82000;1;39,6;1900
11463067;54500;1;25;1959
11463076;57000;1;32.6;1961
11463077;203000;3;89;2006
11463078;76700;1;44.7;2005
11463409;133000;4;64;1969
11463081;221000;5;125;1994
11463082;100000;2;49;1986
11200939;100500;2;60;2013
11463084;81000;1;42;2013
11463085;190000;3;101.6;2005
11463086;85000;2;58;1900
11463087;73700;2;45.2;1962
11463088;80000;2;49.87;1973
11469234;178700;2;79,2;2002
11463091;354000;3;96;2006
11467188;92000;1;38,8;1900
11463093;73500;1;45;2012
11463094;77500;2;43;1963
11467849;65000;1;34,15;1974
11463096;96900;2;57.9;2013
11463097;132000;3;91;2010
11469242;74000;2;45;1965
11463099;123000;3;64;1989
11225532;185000;2;70;2010
11463101;190000;3;67;1989
11463102;278000;4;96.5;1955
11407939;63000;1;33;1981
11463104;92100;2;41.8;1970
11463105;89000;2;50;1900
11467202;66000;1;33;1980
11469899;57;1;31;1965
11463108;100000;3;63;1977
11471606;76000;3;47.86;1936
11463110;78000;1;39;2000
11463235;263000;3;108;1900
11467208;92000;1;46;2013
11463114;67490;1;33;1989
11200971;339000;4;142;1996
11463109;70500;1;43.5;1954
11463118;127000;4;88;1993
11463119;88700;2;54;1980
11463120;71600;1;38;2013
11078097;130000;3;63,19;1900
11463123;157000;3;82;2013
11463124;74950;1;45.67;2013
11463125;450000;4;107;1954
11463126;115000;3;61.3;1956
11463127;125000;2;50;1984
11463128;94900;2;54.7;2013
11463129;145500;2;86.6;2012
11463130;69000;1;32;1963
11463131;88000;3;56.8;1965
11467228;90000;1;36;1997
9484026;180000;4;88;2000
11463134;97000;2;58.5;2009
11463135;75000;2;40.2;1968
11463136;122000;3;79;2009
11463137;82000;2;49.7;1967
11463138;100000;1;43;2011
11463139;49700;2;34;1967
11463140;98000;3;56.4;1964
11463141;75500;1;36.6;1989
11469286;62000;1;33;1993
11469287;300000;4;120;1978
10744299;92000;2;46;1950
11463148;115000;2;50.7;2003
11307501;40000;1;36.8;1900
11463150;260000;2;66;1946
11463152;128000;3;62.5;1995
11467249;77000;1;37;2000
11463154;63000;1;33;1982
11463155;138000;2;60;1957
6959604;280000;2;57;1953
11471614;198000;5;128;1997
11463158;117000;2;50;1984
10803703;59000;1;30.7;1962
11463160;123000;3;54;1970
11463161;180000;3;91;2012
11463162;265000;5;167;2012
10795515;75000;1;40;2011
11463165;55700;1;29.9;1977
11463166;60900;1;34.7;1971
11463167;85000;2;51;1981
11463168;135000;2;63;2007
11463169;257000;3;90;2011
11463171;130000;3;66;1977
11463174;88000;4;59;1900
11463175;151000;3;81;2007
11463178;70900;1;41;2013
11463179;77000;2;50;1985
11463180;210000;2;60;2008
11463181;117000;3;67;1972
11463182;90000;2;39.8;1985
11467279;95000;2;48;1989
11069968;128000;3;74;1996
11469329;75000;2;41;1967
11463187;65000;1;35.9;1971
11463188;59500;1;32;1965
11463189;64000;1;33.1;1991
11112982;235000;2;73;2005
11475479;35000;2;51;1900
11463192;218000;3;101;2012
11467524;75900;2;45;1900
11463194;72000;1;34;1970
11463195;68000;1;33;1975
11463196;135000;3;62.83;1984
11463197;72000;1;40;2013
11463198;57500;1;30;1961
11463199;65000;1;32.04;1958
11356704;182500;3;61;1955
11463201;182000;1;62.1;2001
11463202;62000;2;41;1960
11463203;100000;2;66;2006
11406086;104000;2;61.39;2012
11463206;135000;4;79.5;1992
10459687;80000;4;58.5;1969
11463208;69700;1;33;1973
10648105;61500;1;30.65;1962
11463210;123000;3;80.5;1960
11463211;63900;1;38.4;1992
11463212;70600;2;44.9;1964
11463213;105000;3;70;1988
11463214;61000;1;33;1991
11463215;59000;1;30.9;1969
11463216;77000;1;33;1961
11463218;125000;3;79;2011
11463219;119000;3;65;1987
11463220;200000;3;125;2011
11463221;85000;2;47;1982
11463363;62000;1;33;1976
11463223;68000;1;31.48;1971
11463224;170000;2;48.4;1959
11463225;120000;3;62;1951
11463226;140000;4;83;1990
11463228;122000;4;83.8;1997
11463230;60500;1;35;1972
11463231;70000;2;38.4;1958
11463232;120000;3;71;1937
11463233;85000;2;46;1980
11463234;161000;3;83.1;1953
10291779;213000;2;70;1950
11409988;265000;3;92.8;2010
11463237;91000;1;36.4;1990
11463238;105700;2;50;1989
11463239;160000;3;70;1981
11469602;68000;1;31;1963
11463241;120000;4;80;1990
11467338;160000;3;72;1955
11463095;375000;5;175.7;2002
11170380;65000;1;31;1963
11463245;235000;3;103.2;2003
11469391;95000;1;50;2009
11463248;140000;3;63.2;1986
11463249;85000;2;46.2;1977
11463251;365000;2;65.3;1954
11463252;180000;3;91;2012
11463253;69000;1;25;1969
11463254;160000;4;98.5;2000
11463256;102000;3;64.5;1973
11463257;94000;3;55;1965
11469402;72000;2;47;1967
11471631;83000;2;51.4;1967
11463260;125000;4;80;1984
11463261;142000;2;56.5;1964
11471454;85000;1;45;2013
11463263;78500;1;42.8;2009
11463264;64500;1;30.3;1960
11463265;63000;1;36.7;1980
11463266;184000;3;91.6;1998
11463267;183000;4;81.4;1998
11463269;64500;1;29.9;1978
11463270;64700;1;33.1;1987
11471633;82000;2;40;1963
11463273;60000;1;31;1969
11463274;133000;3;81;2013
11463275;72000;2;44;1960
11467374;197000;2;64;1958
11463279;95000;3;72.5;1990
11463280;79000;2;43;1962
11463281;73000;2;40;1975
11463282;125000;2;48;1973
11471475;115;3;67;1985
11463284;198000;5;128;1997
11463285;320000;5;173;2006
11463286;66600;1;31;1961
11471977;73000;2;39;1972
11448952;69000;1;40,6;2013
11463289;74000;1;47.3;2013
11463290;360000;4;121.9;2003
11463103;117000;3;72;1990
11463292;112000;2;53;2012
11463293;62800;1;33.8;1987
11463294;118500;4;81.72;1982
11463295;146000;3;65.6;1986
11463296;169000;4;112.5;2008
11463297;61500;2;32;1960
11463298;75000;1;40;2012
11463300;180000;4;77;1983
11463301;68000;1;33.6;1956
11463302;98000;3;61.4;1969
11463303;68000;1;34;1982
11463304;92000;3;62.1;1966
11463305;109000;3;68.38;1975
11463306;70000;2;41.7;1966
11463307;72900;2;43.7;1963
11463309;135000;3;67;1972
11289230;122000;3;69;2011
11463311;71000;2;38.3;1971
11463312;113000;3;68.5;1996
11463313;67500;1;33;1973
11463314;92000;2;51;1981
11463315;350000;4;92;1948
11463316;254500;3;84.4;1955
11463317;57000;1;32.03;1961
11463318;69000;1;36.3;1981
11463320;70600;1;34;1991
10769049;107000;2;63;2009
11463322;72600;1;33;1983
11463323;69500;1;36.8;1991
11463324;155000;2;66;2011
11463325;199000;4;81;1975
11463326;116000;4;80;1978
10853023;103500;2;60,8;2012
11463330;138000;1;59.4;1953
11463332;99600;3;62.6;1983
11463333;63000;1;32;1965
11463334;355000;5;116;1958
11463335;201000;3;130;2012
11463336;86000;2;53;1972
11471644;139000;2;57.7;1999
11463338;63000;1;31;1963
11463339;99000;2;51;1993
11463340;59000;1;33;1969
11463341;77900;1;38;1976
11463342;69000;1;34;1998
11463343;90000;1;54.3;2013
11463344;85000;2;50;1976
11463346;60000;1;37;1984
11463347;93000;3;63;1973
11463348;111000;3;65.7;1995
11463349;85000;2;43.6;1968
11463350;355000;2;107.7;2004
11463351;94000;2;46.9;1993
11463353;85000;2;49.8;1990
11240122;155000;4;95.6;2012
11463355;64500;1;38;1985
11463356;64400;1;33;1966
11463358;62500;1;30.5;1966
11463360;135000;2;59.74;1953
11346720;77000;2;38.3;1959
11463362;58500;1;33.15;1972
11467211;116500;3;62,73;1977
11463364;120000;2;44.8;1958
11356869;123000;4;78;1900
11463366;81900;2;50;1975
11463367;75500;2;45.5;1962
11463368;106000;3;64;1989
11463371;150000;3;66;1977
11471564;91000;2;53.3;2002
11471650;65900;1;31;1962
11471566;80000;2;44;1962
11471567;76000;1;31.2;1973
11471568;71000;2;51;1971
11471569;188000;2;53.8;1950
11471570;220000;3;96.8;2007
11471571;185000;3;112;2012
11471572;95000;3;50.86;1947
11463381;69000;1;35;1993
11471574;107000;1;40.8;2011
11471993;68000;1;35.1;1975
11471576;280000;3;89;1953
11471577;392000;3;157;2008
11463386;135000;3;63.2;1982
11471579;133500;2;88;2013
11471580;75000;2;47.2;1970
11471994;65000;2;46;1965
11471582;88000;3;57.5;1962
11471583;83000;1;43;2013
11471584;85000;2;49.7;1979
11471585;75000;1;31;1967
11471586;139900;3;77;1977
11471587;180000;3;79;2004
11471588;72500;2;43;1962
11471589;72000;2;45.1;1963
11471590;119000;3;79.8;2013
11471591;105000;2;61.5;2007
11471592;87000;2;43.1;1963
11471593;92000;3;55;1964
11471594;73000;2;50;1968
11471595;182000;2;64;2001
11263442;140000;3;87;2011
11471598;163000;3;72.6;2004
11471599;62500;1;32.6;1972
11471600;98000;3;70;1962
11471601;122000;2;72.2;2013
11471602;98000;2;61;2007
11471604;101000;3;63;1996
11471605;228250;3;104;2009
11000566;180000;3;86,5;2006
11471607;165000;2;62.4;1969
11471608;62000;1;30;1960
11471609;120000;2;80.3;2009
11471610;130000;3;93.96;2011
11471612;122000;4;77.3;1996
11471613;57000;1;35.4;1979
11356926;210000;4;100;1900
11471615;77000;1;51.9;2007
11471616;117000;2;47;1956
11471617;91000;2;50.6;1977
11471619;151000;3;100;2002
11471620;69000;1;33;1978
11471621;85900;2;50.4;1975
11471622;108500;2;80.4;2010
11471623;520000;3;134.7;2012
11471624;66700;1;30.5;1965
11475721;119000;4;83;1987
11471626;215000;4;80.33;1958
11471627;97000;1;43;2006
11471628;64000;1;33.17;1978
11471630;97000;3;63;1979
11471661;73700;2;45.2;1962
11471632;130000;3;63;1986
11475729;120000;2;60;1971
11471634;130000;4;90;2008
11475731;143000;3;72;1900
11471636;63000;1;30.7;1965
11471637;190000;3;73;1969
11471639;149500;2;68;2005
11471641;110000;3;67.4;1992
11471642;54500;1;25;1959
10365421;115000;2;47.94;1958
10470172;650000;4;183;1997
11471645;143000;4;79.3;2004
11463098;75000;1;34.3;1967
11471648;64000;1;32.4;1968
11469616;61000;1;31;1963
10216226;115500;2;52;1900
11471652;57000;1;32.6;1961
11471653;203000;3;89;2006
11471654;76700;1;44.7;2005
11471656;221000;5;125;1994
11471657;100000;2;49;1986
11471658;81000;1;42;2013
11471659;190000;3;101.6;2005
11471660;85000;2;58;1900
11301677;285000;4;128,49;2013
11471662;80000;2;49.87;1973
11463133;66500;1;32;1970
11471664;63500;1;33;1982
11471665;83500;1;42;2010
11471666;354000;3;96;2006
11471667;212000;3;103;2011
11471668;73500;1;45;2012
11471669;77500;2;43;1963
11471671;375000;5;175.7;2002
11471672;96900;2;57.9;2013
11471673;132000;3;91;2010
11471674;75000;1;34.3;1967
11471675;123000;3;64;1989
11471676;139000;3;92;2009
11471677;190000;3;67;1989
11471679;278000;4;96.5;1955
11471680;117000;3;72;1990
11471682;92100;2;41.8;1970
11471683;89000;2;50;1900
11471684;237000;3;94;2006
11471685;75000;2;40;1969
11471686;100000;3;63;1977
11471687;70500;1;43.5;1954
11471688;78000;1;39;2000
11471689;74500;2;41;1963
11471691;67490;1;33;1989
11471694;127000;4;88;1993
11471695;88700;2;54;1980
11471696;71600;1;38;2013
11471697;182700;2;58.3;1955
11471699;157000;3;82;2013
11471700;74950;1;45.67;2013
11471701;450000;4;107;1954
11471703;115000;3;61.3;1956
11471704;125000;2;50;1984
11471706;94900;2;54.7;2013
11471707;145500;2;86.6;2012
11471708;69000;1;32;1963
11471709;88000;3;56.8;1965
11471710;69000;1;33;1986
11471711;66500;1;32;1970
11471712;97000;2;58.5;2009
11471713;75000;2;40.2;1968
11471714;122000;3;79;2009
11471715;82000;2;49.7;1967
11471716;100000;1;43;2011
11471717;49700;2;34;1967
11471718;98000;3;56.4;1964
10980199;129000;3;76;2013
11471720;69000;1;35;1990
11471721;192000;4;112.6;1995
11471722;115000;2;50.7;2003
11463143;192000;4;112.6;1995
11471725;79000;1;43;2010
11471726;260000;2;66;1946
11471728;128000;3;62.5;1995
11471729;185000;2;70;2002
11471730;63000;1;33;1982
11471731;138000;2;60;1957
11471732;90000;2;50;1986
11471733;61000;1;35;1976
11471734;117000;2;50;1984
11471735;141000;3;78.1;2012
11471736;123000;3;54;1970
11471737;62000;1;32;1976
11471738;180000;3;91;2012
11471739;265000;5;167;2012
11471741;55700;1;29.9;1977
11471742;60900;1;34.7;1971
11471743;85000;2;51;1981
11471744;135000;2;63;2007
11471745;139000;3;92.8;2012
11471746;257000;3;90;2011
11144067;88500;1;55,3;2013
11471748;88000;4;59;1900
11471749;151000;3;81;2007
11471751;70900;1;41;2013
11471752;77000;2;50;1985
11471753;180000;2;60;2008
11471756;117000;3;67;1972
11471757;90000;2;39.8;1985
11398030;110000;2;50,8;1982
11467245;85;2;44,5;1978
11471760;63000;1;33.6;1989
11471761;78000;1;45;2009
11471762;62000;1;33;1978
11468611;92500;3;80;2008
11471764;65000;1;35.9;1971
11471765;59500;1;32;1965
11471766;64000;1;33.1;1991
11471767;80000;2;42.8;1964
11471768;210000;3;68;1900
11471769;218000;3;101;2012
11471770;76000;1;33.2;1971
11471771;72000;1;34;1970
11471772;68000;1;33;1975
11471773;135000;3;62.83;1984
11471774;72000;1;40;2013
11471775;57500;1;30;1961
11471776;65000;1;32.04;1958
11471778;182000;1;62.1;2001
11471779;62000;2;41;1960
11471781;100000;2;66;2006
10804135;95000;4;58,5;1964
11471784;75500;2;48.3;1977
11471785;135000;4;79.5;1992
11471786;64900;1;31;1963
11471787;69700;1;33;1973
11471788;134000;2;55;1949
11471789;123000;3;80.5;1960
11471790;65300;1;33;1992
11471791;63900;1;38.4;1992
11471792;70600;2;44.9;1964
11471793;105000;3;70;1988
11471794;61000;1;33;1991
11471795;57900;1;30.9;1969
11471796;77000;1;33;1961
11471797;125000;3;79;2011
11471798;119000;3;65;1987
11471799;200000;3;125;2011
11471800;85000;2;47;1982
11471801;68400;1;30;1961
11471802;68000;1;31.48;1971
11471803;170000;2;48.4;1959
11471805;120000;3;62;1951
11471806;135000;4;83;1990
11463157;61000;1;35;1976
11471808;122000;4;83.8;1997
11471810;60500;1;35;1972
11471811;70000;2;38.4;1958
11471812;120000;3;71;1937
11471814;85000;2;46;1980
11383751;108000;2;63;2009
11115464;87000;2;55;1973
11471817;161000;3;83.1;1953
11463159;141000;3;78.1;2012
11471821;263000;3;108;1900
11471822;107000;2;57;2003
11471823;91000;1;36.4;1990
11471824;105700;2;50;1989
11471825;160000;3;70;1981
11471826;120000;4;80;1990
11471827;105000;2;68;2007
11471828;144600;2;55.33;1977
11471830;235000;3;103.2;2003
11471832;140000;3;63.2;1986
11471833;85000;2;46.2;1977
11471834;365000;2;65.3;1954
11471835;180000;3;91;2012
11471836;160000;4;98.5;2000
11471839;102000;3;64.5;1973
11471840;94000;3;55;1965
11471841;95000;2;54;1959
11471842;95000;2;51;1985
11471843;125000;4;80;1984
11471844;142000;2;56.5;1964
11471845;68000;1;39.2;1995
11471846;78500;1;42.8;2009
11471847;64500;1;30.3;1960
11471848;63000;1;36.7;1980
11471849;184000;3;91.6;1998
11471850;183000;4;81.4;1998
11471852;64500;1;29.9;1978
11471853;64700;1;33.1;1987
11471854;62500;1;34;1971
11471856;60000;1;31;1969
11471857;133000;3;81;2013
